,genres,year_release,early_access,price,accounting,action,adventure,animation &amp; modeling,audio production,casual,design &amp; illustration,early access,education,free to play,indie,massively multiplayer,photo editing,racing,rpg,simulation,software training,sports,strategy,utilities,video production,web publishing
8035,"simulation, early access",2017,1,17.99,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8036,"action, indie",2017,0,7.99,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8037,"action, casual, indie",2017,0,3.99,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8038,"adventure, indie",2017,0,19.99,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8039,"action, adventure, indie, early access",2017,1,9.99,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8044,"action, indie",2017,0,9.99,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8045,simulation,2017,0,59.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8046,action,2017,0,0.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8047,action,2017,0,5.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8048,"casual, indie, strategy",2017,0,9.99,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8049,"casual, indie, rpg",2017,0,0.99,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8050,"adventure, indie",2017,0,4.99,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8051,"action, indie, racing",2017,0,1.99,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8052,"action, indie",2017,0,0.99,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8053,"action, casual, indie",2017,0,0.99,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8054,"adventure, indie",2017,0,0.99,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8055,"indie, strategy",2011,0,0.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8056,"indie, rpg",2017,0,0.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8057,"action, casual, indie, racing, simulation, sports",2017,0,6.99,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
8058,"casual, indie, simulation, strategy",2017,0,4.99,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
8059,"indie, strategy",2017,0,7.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8060,adventure,2013,0,19.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8061,"action, indie",2017,0,1.99,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8062,"action, adventure, casual, indie",2017,0,9.99,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8063,"indie, rpg, strategy",2017,0,4.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8064,"rpg, simulation, strategy",2017,0,18.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
8065,"rpg, simulation, strategy",2017,0,24.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
8066,"indie, rpg, strategy",2017,0,4.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8067,"indie, rpg, strategy",2017,0,4.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8068,"rpg, simulation, strategy",2017,0,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
8069,"adventure, indie, simulation, strategy",2017,0,3.99,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
8070,"casual, indie, racing, simulation",2017,0,1.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
8071,simulation,2017,0,29.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8072,"adventure, casual, indie, rpg, strategy",2017,0,0.99,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8073,"adventure, casual, indie, rpg, strategy",2017,0,3.99,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8074,sports,2017,0,49.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8075,"adventure, casual, indie, rpg, strategy",2017,0,3.99,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8076,"adventure, casual, indie, rpg, strategy",2017,0,3.99,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8077,"adventure, casual, indie, rpg, strategy",2017,0,3.99,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8078,"adventure, casual, indie, rpg, strategy",2017,0,3.99,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8079,"adventure, casual, indie, rpg, strategy",2017,0,3.99,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8081,"action, indie, racing, sports",2017,0,1.99,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
8083,action,2017,0,39.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8086,"action, adventure, casual, indie, rpg, simulation, strategy",2017,0,6.99,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
8087,"casual, indie",2017,0,4.99,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8088,"action, indie",2017,0,4.99,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8089,"action, simulation, strategy",2017,0,9.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
8090,"action, adventure, indie, simulation, early access",2017,1,14.99,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
8091,action,2017,0,0.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8092,"adventure, indie",2017,0,4.99,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8093,"adventure, indie, rpg",2017,0,1.99,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8094,"rpg, simulation, strategy",2017,0,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
8095,simulation,2017,0,14.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8096,simulation,2017,0,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8097,simulation,2017,0,14.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8098,"casual, indie, simulation",2017,0,4.99,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
8099,simulation,2017,0,19.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8100,simulation,2017,0,29.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8101,"action, indie, rpg",2017,0,4.99,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8102,"simulation, strategy",2017,0,19.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
8103,"simulation, strategy",2017,0,19.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
8104,"casual, indie, simulation, strategy",2017,0,0.99,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
8105,"action, casual, indie",2017,0,0.99,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8106,indie,2017,0,4.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8107,"adventure, indie",2017,0,4.99,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8108,"action, adventure, indie",2017,0,7.99,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8109,"indie, massively multiplayer, strategy, early access",2017,1,19.99,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
8110,strategy,2017,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8112,"adventure, casual, free to play, indie",2017,0,0.99,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8113,"action, adventure, indie",2017,0,11.99,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8114,"action, adventure, indie",2017,0,7.99,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8115,"action, adventure",2017,0,4.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8116,"rpg, strategy",2017,0,14.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8117,"action, indie, strategy",2017,0,9.99,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8118,"indie, simulation",2017,0,3.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
8119,action,2017,0,4.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8120,"action, casual, indie",2017,0,0.99,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8121,"casual, indie, simulation, strategy, early access",2017,1,2.99,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
8122,"adventure, casual",2017,0,9.99,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8123,"action, adventure, casual, indie",2017,0,0.99,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8124,casual,2017,0,9.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8125,action,2017,0,7.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8126,simulation,2011,0,49.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8127,"action, adventure, casual, indie",2017,0,2.99,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8128,"action, adventure, casual, indie",2017,0,0.99,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8129,"adventure, casual",2017,0,9.99,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8130,"indie, rpg",2017,0,3.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8131,indie,2017,0,9.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8132,action,2017,0,19.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8133,"action, casual, indie, early access",2017,1,14.99,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8134,"free to play, indie, massively multiplayer, strategy",2017,0,9.99,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
8135,"action, adventure, casual, indie",2017,0,6.99,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8136,"casual, simulation",2017,0,9.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8137,"indie, strategy",2017,0,1.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8138,"indie, strategy",2017,0,2.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8139,"action, indie",2017,0,6.99,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8140,action,2017,0,14.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8141,"action, indie",2017,0,1.99,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8142,adventure,2017,0,11.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8143,action,2017,0,4.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8145,action,2017,0,1.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8146,"adventure, indie",2017,0,19.99,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8147,"casual, indie, strategy",2017,0,0.99,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8148,"action, adventure",2017,0,19.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8149,video production,2017,0,399.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8151,"action, adventure, indie",2017,0,39.99,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8152,"action, adventure",2017,0,3.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8153,"action, adventure",2017,0,9.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8155,"casual, simulation",2017,0,9.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8156,"casual, simulation",2017,0,2.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8157,"casual, simulation",2017,0,2.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8158,"action, indie",2017,0,14.99,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8159,"rpg, strategy",2017,0,19.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8160,"casual, simulation",2017,0,2.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8161,"casual, simulation",2017,0,2.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8162,"adventure, strategy",2017,0,4.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8163,"adventure, strategy",2017,0,4.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8164,"adventure, strategy",2017,0,19.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8165,casual,2017,0,6.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8166,"action, indie, racing, simulation, sports",2017,0,29.99,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
8167,"casual, indie, strategy",2017,0,4.99,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8168,"indie, rpg",2017,0,14.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8170,action,2017,0,9.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8174,"casual, indie",2017,0,1.99,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8175,"action, indie",2017,0,1.99,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8176,"adventure, indie",2017,0,4.99,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8177,"adventure, casual, indie, rpg, simulation, strategy",2017,0,3.99,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
8178,"adventure, indie",2017,0,2.99,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8179,simulation,2017,0,39.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8180,simulation,2017,0,29.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8181,simulation,2017,0,19.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8182,simulation,2017,0,19.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8183,"action, indie, racing",2017,0,2.99,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8184,simulation,2017,0,24.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8185,"action, casual, indie",2017,0,14.99,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8186,"adventure, casual",2017,0,9.99,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8188,"action, casual, indie, massively multiplayer",2017,0,7.99,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
8189,"indie, rpg, strategy",2017,0,2.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8190,"indie, rpg, strategy",2017,0,2.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8191,"indie, rpg, strategy",2017,0,2.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8192,"indie, rpg, strategy",2017,0,2.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8193,"indie, rpg, strategy",2017,0,2.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8194,"action, indie, strategy",2017,0,4.99,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8195,simulation,2017,0,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8196,simulation,2017,0,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8197,"free to play, massively multiplayer, rpg",2017,0,79.99,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
8198,"free to play, massively multiplayer, rpg",2017,0,14.99,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
8199,"free to play, massively multiplayer, rpg",2017,0,7.99,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
8200,"free to play, massively multiplayer, rpg",2017,0,34.99,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
8201,"free to play, massively multiplayer, rpg",2017,0,119.99,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
8202,"action, free to play, massively multiplayer",2017,0,34.99,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8203,"action, free to play, massively multiplayer",2017,0,34.99,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8204,"action, free to play, massively multiplayer",2017,0,34.99,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8205,"action, free to play, massively multiplayer",2017,0,34.99,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8206,"action, free to play, massively multiplayer",2017,0,34.99,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8207,"action, free to play, massively multiplayer",2017,0,34.99,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8208,adventure,2017,0,14.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8209,"casual, indie",2017,0,3.99,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8210,"action, adventure, indie",2017,0,9.99,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8211,"action, adventure, indie",2017,0,14.99,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8212,"action, adventure, indie",2017,0,2.99,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8213,"action, adventure, indie",2017,0,4.99,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8214,"indie, rpg, strategy",2017,0,2.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8215,"simulation, strategy",2017,0,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
8216,"indie, rpg, simulation, strategy",2017,0,2.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
8217,"casual, indie, strategy",2017,0,9.99,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8218,"casual, free to play, simulation, sports",2017,0,2.99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
8219,"adventure, indie, rpg, early access",2017,1,8.99,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8221,"action, casual, indie, strategy",2017,0,1.99,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8222,"adventure, indie",2017,0,3.99,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8223,"indie, rpg",2017,0,4.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8224,"casual, indie, sports, strategy",2017,0,4.99,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
8225,"design &amp; illustration, web publishing",2017,0,9.99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8226,"design &amp; illustration, web publishing",2017,0,4.99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8227,"design &amp; illustration, web publishing",2017,0,4.99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8228,"design &amp; illustration, web publishing",2017,0,13.99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8229,"action, indie",2017,0,6.99,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8230,"action, indie, massively multiplayer",2017,0,4.99,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
8231,"adventure, casual",2017,0,9.99,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8232,"action, adventure, casual, indie, strategy",2017,0,5.99,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8233,indie,2017,0,1.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8234,"action, adventure, rpg",2017,0,6.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8235,"casual, sports",2017,0,1.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8236,"action, adventure, indie",2017,0,2.99,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8237,"indie, rpg, strategy",2017,0,7.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8238,"action, adventure",2017,0,14.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8239,action,2017,0,4.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8240,"casual, indie, rpg",2017,0,10.99,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8241,"indie, rpg",2014,0,0.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8242,"action, indie",2017,0,7.99,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8243,"casual, simulation",2017,0,11.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8244,"casual, simulation",2017,0,2.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8246,adventure,2017,0,24.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8247,adventure,2017,0,14.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8248,"casual, simulation",2017,0,2.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8249,strategy,2000,0,5.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8250,"casual, simulation",2017,0,2.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8251,adventure,1993,0,5.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8252,adventure,1996,0,5.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8253,rpg,2000,0,5.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8254,adventure,1989,0,5.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8255,adventure,1997,0,5.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8256,"action, adventure",2017,0,6.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8257,"action, adventure",2017,0,6.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8258,"action, adventure, indie, racing",2017,0,9.99,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8259,indie,2017,0,4.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8260,simulation,2017,0,29.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8261,"action, strategy",2017,0,14.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8262,"action, casual, indie, racing, sports",2017,0,1.99,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
8263,"action, rpg",2017,0,4.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8264,simulation,2017,0,16.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8265,"indie, rpg, strategy",2017,0,11.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
